antecedent,consequent,support,confidence,lift
33 39 90,49,125,0.8446,1.7672
40 345,49,103,0.8443,1.7665
40 42 90,49,522,0.8433,1.7645
40 1136,49,386,0.8428,1.7634
40 90 171,49,111,0.8409,1.7595
19 42,40 49,115,0.5808,1.7571
42 1716,40 49,108,0.5806,1.7566
40 42 256,49,230,0.8394,1.7564
33 1136,49,162,0.8394,1.7563
40 1790,49,99,0.8390,1.7555
39 311,40 49,251,0.5797,1.7537
1136,40 49,386,0.5787,1.7507
8692,40 49,213,0.5772,1.7463
33 42 90,49,156,0.8342,1.7455
42 375,40 49,90,0.5769,1.7453
3172,40 49,94,0.5767,1.7446
39 40 108,49,90,0.8333,1.7436
90 311,49,190,0.8333,1.7436
90 102,40 49,110,0.5759,1.7423
79,40 49,610,0.5755,1.7409
42 79,49,167,0.8308,1.7384
11 40 42,49,93,0.8304,1.7374
40 1957,49,161,0.8299,1.7365
40 42 79,49,136,0.8293,1.7351
33 39 40 48,49,97,0.8291,1.7347
40 42 1815,49,92,0.8288,1.7342
1906,40 49,102,0.5730,1.7336
39 157,40 49,102,0.5730,1.7336
39 90 171,49,140,0.8284,1.7333
39 42 66,40 49,130,0.5727,1.7325
42 90,49,606,0.8279,1.7322
39 414,40 49,170,0.5724,1.7316
40 66 90,49,186,0.8267,1.7297
33 40 42 311,49,133,0.8261,1.7285
4031,49,90,0.8257,1.7276
40 42 50,49,142,0.8256,1.7274
42 390,40 49,109,0.5707,1.7265
39 42 90,49,173,0.8238,1.7237
33 79,40 49,132,0.5690,1.7213
40 8692,49,213,0.8224,1.7208
33 40 48,49,97,0.8220,1.7200
33 40 256,49,189,0.8217,1.7194
1787,40 49,150,0.5682,1.7189
42 678,40 49,130,0.5677,1.7174
33 311,40 49,307,0.5675,1.7167
10599,40 49,97,0.5673,1.7161
33 40 79,49,132,0.8199,1.7155
33 50,49,168,0.8195,1.7147
42 176,40 49,166,0.5666,1.7140
42 1328,40 49,260,0.5664,1.7137
39 40 259,49,95,0.8190,1.7136
39 40 42 476,49,95,0.8190,1.7136
2793,40 49,175,0.5663,1.7133
90 171,49,140,0.8187,1.7131
42 1345,40 49,146,0.5659,1.7120
39 42 238,40 49,116,0.5659,1.7119
33 42 226,40 49,117,0.5652,1.7099
42 2239,40 49,322,0.5649,1.7090
42 256,49,271,0.8163,1.7079
40 1995,49,111,0.8162,1.7077
1997,40 49,128,0.5639,1.7059
42 186,40 49,168,0.5638,1.7055
42 16011 16012,40 49,133,0.5636,1.7049
39 14099,40 49,102,0.5635,1.7048
33 42 171,40 49,89,0.5633,1.7041
40 42 2200,49,92,0.8142,1.7035
39 40 3271,49,105,0.8140,1.7031
39 40 42 311,49,118,0.8138,1.7028
40 42 408,49,96,0.8136,1.7023
40 10424,49,109,0.8134,1.7020
39 42 226,40 49,126,0.5625,1.7017
2409,40 49,95,0.5621,1.7006
15880,49,104,0.8125,1.7001
40 42 230,49,121,0.8121,1.6992
42 13042,40 49,219,0.5615,1.6988
42 202,40 49,142,0.5613,1.6980
42 593,40 49,170,0.5611,1.6973
1136,49,541,0.8111,1.6971
40 90 226,49,111,0.8102,1.6953
90 226,49,132,0.8098,1.6944
20 42,40 49,113,0.5594,1.6923
40 2525,49,135,0.8084,1.6914
40 10599,49,97,0.8083,1.6913
10424,40 49,109,0.5590,1.6910
39 40 50,49,139,0.8081,1.6909
42 16011,40 49,261,0.5589,1.6908
42 15619,40 49,100,0.5587,1.6901
42 650,40 49,110,0.5584,1.6892
40 90 238,49,146,0.8066,1.6878
42 77,40 49,121,0.5576,1.6869
39 186,40 49,121,0.5576,1.6869
446,40 49,97,0.5575,1.6865
42 16012,40 49,136,0.5574,1.6862
40 4222,49,95,0.8051,1.6845
40 42 1436,49,95,0.8051,1.6845
42 465,40 49,108,0.5567,1.6842
39 1394,40 49,113,0.5567,1.6840
33 39 42,40 49,448,0.5565,1.6836
1957,49,243,0.8046,1.6836
42 50,49,177,0.8045,1.6834
1671,40 49,89,0.5563,1.6828
975,40 49,89,0.5563,1.6828
42 523,40 49,119,0.5561,1.6823
33 40 311,49,307,0.8037,1.6816
33 90,49,573,0.8036,1.6815
40 50,49,617,0.8034,1.6810
39 40 534,49,143,0.8034,1.6809
40 90 102,49,110,0.8029,1.6800
40 286,49,122,0.8026,1.6794
40 42 265,49,134,0.8024,1.6789
42 102,40 49,264,0.5546,1.6779
40 975,49,89,0.8018,1.6777
42 572,49,97,0.8017,1.6774
40 12936,49,214,0.8015,1.6770
33 42 311,49,149,0.8011,1.6761
39 250,40 49,149,0.5539,1.6757
90,40 49,2125,0.5538,1.6754
66 476,40 49,93,0.5536,1.6747
42 10445,49,92,0.8000,1.6739
42 353,40 49,94,0.5529,1.6728
10 40 42,49,191,0.7992,1.6721
5652,40 49,105,0.5526,1.6719
42 104,40 49,95,0.5523,1.6709
33 42 66,40 49,122,0.5520,1.6701
256,40 49,813,0.5516,1.6686
42 341,40 49,91,0.5515,1.6685
40 42 549,49,145,0.7967,1.6670
50,40 49,617,0.5509,1.6666
33 40 12930,49,90,0.7965,1.6665
42 302,40 49,141,0.5508,1.6663
42 414,40 49,228,0.5507,1.6661
40 492,49,148,0.7957,1.6649
40 4208,49,136,0.7953,1.6641
40 3222,49,101,0.7953,1.6640
40 42 259,49,163,0.7951,1.6637
42 66,40 49,547,0.5497,1.6631
39 40 230,49,116,0.7945,1.6624
40 3775,49,108,0.7941,1.6616
40 1184,49,108,0.7941,1.6616
39 42 476,49,108,0.7941,1.6616
12936,40 49,214,0.5487,1.6600
39 549,40 49,113,0.5485,1.6595
40 799,49,230,0.7931,1.6595
39 40 90,49,467,0.7929,1.6590
40 42 108,49,111,0.7929,1.6590
40 2330,49,214,0.7926,1.6584
40 42 3271,49,126,0.7925,1.6581
40 42 571,49,137,0.7919,1.6570
40 42 14099,49,110,0.7914,1.6558
11 42,49,106,0.7910,1.6552
90 476,49,121,0.7908,1.6547
40 42 10516,49,102,0.7907,1.6544
40 90 476,49,102,0.7907,1.6544
42 957,40 49,123,0.5467,1.6538
39 40 549,49,113,0.7902,1.6534
33 40 230,49,94,0.7899,1.6528
33 38 39,40 49,101,0.5459,1.6516
39 42 311,49,131,0.7892,1.6512
40 2351,49,116,0.7891,1.6511
39 40 476,49,243,0.7890,1.6508
33 79,49,183,0.7888,1.6504
40 2116,49,168,0.7887,1.6503
40 79,49,610,0.7881,1.6490
40 398,49,156,0.7879,1.6485
39 42 791,40 49,110,0.5446,1.6474
2709,40 49,98,0.5444,1.6471
39 40 256,49,170,0.7870,1.6468
66 238,40 49,117,0.5442,1.6463
42 791,40 49,111,0.5441,1.6461
39 61,40 49,105,0.5440,1.6459
24 42,40 49,99,0.5440,1.6456
39 42 56,40 49,93,0.5439,1.6453
42 187,49,114,0.7862,1.6450
33 40 339,49,114,0.7862,1.6450
52,40 49,106,0.5436,1.6445
39 339,40 49,100,0.5435,1.6442
39 50,49,176,0.7857,1.6440
90 102,49,150,0.7853,1.6432
40 66 238,49,117,0.7852,1.6430
40 238 476,49,95,0.7851,1.6428
33 38,40 49,101,0.5430,1.6427
1061,40 49,114,0.5429,1.6423
42 56,40 49,95,0.5429,1.6423
40 42 790,49,124,0.7848,1.6421
20 40 42,49,113,0.7847,1.6419
33 2330,49,91,0.7845,1.6414
598,40 49,136,0.5418,1.6392
90 534,49,94,0.7833,1.6390
42 1660,49,101,0.7829,1.6382
40 888,49,108,0.7826,1.6375
42 80,40 49,270,0.5411,1.6369
40 42 534,49,215,0.7818,1.6359
40 2988,49,186,0.7815,1.6352
40 42 476,49,372,0.7815,1.6352
42 16218,40 49,234,0.5404,1.6349
4222,49,139,0.7809,1.6339
39 79,49,171,0.7808,1.6338
8692,49,288,0.7805,1.6331
40 1518,49,103,0.7803,1.6327
40 574,49,92,0.7797,1.6313
40 42 2438,49,92,0.7797,1.6313
42 339,40 49,138,0.5391,1.6308
39 40 593,49,113,0.7793,1.6306
39 40 79,49,141,0.7790,1.6300
40 2409,49,95,0.7787,1.6293
40 1906,49,102,0.7786,1.6292
39 605,40 49,105,0.5385,1.6290
2481,40 49,106,0.5381,1.6278
42 977,40 49,99,0.5380,1.6277
4165,49,105,0.7778,1.6274
40 2793,49,175,0.7778,1.6274
90 593,49,91,0.7778,1.6274
42 61,40 49,142,0.5379,1.6272
40 42 311,49,486,0.7776,1.6270
79,49,824,0.7774,1.6265
42 825,40 49,172,0.5375,1.6261
40 2054,49,122,0.7771,1.6259
1972,49,108,0.7770,1.6257
40 78,49,108,0.7770,1.6257
40 3087,49,94,0.7769,1.6255
4976,40 49,116,0.5370,1.6247
10606,40 49,145,0.5370,1.6247
40 4631,49,111,0.7762,1.6241
61 90,49,111,0.7762,1.6241
33 42 476,49,111,0.7762,1.6241
40 446,49,97,0.7760,1.6237
33 40 118,49,97,0.7760,1.6237
42 426,49,90,0.7759,1.6234
39 148,40 49,176,0.5366,1.6233
1518,40 49,103,0.5365,1.6229
5730,40 49,155,0.5363,1.6225
1167,40 49,96,0.5363,1.6225
40 66 476,49,93,0.7750,1.6216
290,40 49,97,0.5359,1.6213
40 1594,49,117,0.7748,1.6212
42 265,49,158,0.7745,1.6206
12936,49,302,0.7744,1.6202
10 39,40 49,106,0.5354,1.6196
40 4112,49,89,0.7739,1.6193
40 2016,49,178,0.7739,1.6193
66 90,49,243,0.7739,1.6193
40 2999,49,130,0.7738,1.6191
40 52,49,106,0.7737,1.6189
42 226,40 49,469,0.5348,1.6178
33 40 42 476,49,92,0.7731,1.6176
40 90,49,2125,0.7730,1.6174
66 256,49,102,0.7727,1.6168
42 148,40 49,234,0.5342,1.6162
40 2674,49,190,0.7724,1.6161
33 42 49 226,40,117,0.9286,1.6155
4222,40 49,95,0.5337,1.6146
40 2789,49,98,0.7717,1.6146
42 962,49,98,0.7717,1.6146
42 397,40 49,96,0.5333,1.6135
42 1544,40,102,0.9273,1.6132
39 49 14099,40,102,0.9273,1.6132
40 165,49,138,0.7709,1.6131
40 912,49,111,0.7708,1.6129
1957,40 49,161,0.5331,1.6128
40 716,49,167,0.7696,1.6103
40 65,49,90,0.7692,1.6095
40 42 1068,49,90,0.7692,1.6095
39 40 414,49,170,0.7692,1.6095
40 256,49,813,0.7692,1.6094
42 536,40 49,92,0.5318,1.6088
39 262,49,93,0.7686,1.6082
33 341,49,93,0.7686,1.6082
40 42 550,49,116,0.7682,1.6074
42 2285,40,109,0.9237,1.6071
40 42 157,49,96,0.7680,1.6069
40 2168,49,139,0.7680,1.6068
40 42 202,49,142,0.7676,1.6060
37 40 90,49,99,0.7674,1.6058
238 476,40 49,95,0.5307,1.6056
66 226,40 49,113,0.5305,1.6049
40 194,49,102,0.7669,1.6047
40 897,49,92,0.7667,1.6042
40 1164,49,108,0.7660,1.6027
40 1904,49,108,0.7660,1.6027
42 230,49,144,0.7660,1.6027
2012,40 49,116,0.5297,1.6024
40 283,49,121,0.7658,1.6024
40 831,49,196,0.7656,1.6020
37 39 40 90,49,98,0.7656,1.6020
40 1002,49,124,0.7654,1.6016
40 530,49,114,0.7651,1.6009
12 40 42,49,127,0.7651,1.6008
40 4941,49,107,0.7643,1.5992
40 728,49,184,0.7635,1.5975
40 42 767,49,103,0.7630,1.5964
40 2395,49,106,0.7626,1.5956
40 166,49,122,0.7625,1.5954
40 2200,49,266,0.7622,1.5948
1594,40 49,117,0.5270,1.5944
40 925,49,115,0.7616,1.5935
40 251,49,118,0.7613,1.5929
40 42 1394,49,137,0.7611,1.5925
33 12930,40 49,90,0.5263,1.5922
40 3809,49,105,0.7609,1.5920
40 2376,49,140,0.7609,1.5920
42 311,49,547,0.7608,1.5918
40 42 465,49,108,0.7606,1.5914
42 259,49,193,0.7598,1.5899
1298,49,98,0.7597,1.5896
40 230,49,382,0.7594,1.5890
40 10606,49,145,0.7592,1.5884
40 42 1579,49,104,0.7591,1.5884
10424,49,148,0.7590,1.5881
3905,40 49,179,0.5249,1.5880
42 1068,49,110,0.7586,1.5873
40 42 650,49,110,0.7586,1.5873
39 102,40 49,181,0.5246,1.5872
42 408,49,116,0.7582,1.5864
37 90,49,116,0.7582,1.5864
40 1316,49,94,0.7581,1.5862
40 42 353,49,94,0.7581,1.5862
42 427,49,94,0.7581,1.5862
2999,40 49,130,0.5242,1.5858
40 109,49,97,0.7578,1.5856
40 2524,49,187,0.7571,1.5841
33 256,49,243,0.7570,1.5839
33 476,40 49,234,0.5235,1.5837
2379,40 49,101,0.5233,1.5832
42 46,40 49,90,0.5233,1.5830
39 90,49,578,0.7565,1.5830
39 40 171 238,49,90,0.7563,1.5825
1643,40 49,102,0.5231,1.5824
40 4343,49,93,0.7561,1.5820
40 1068,49,251,0.7560,1.5819
40 108,49,322,0.7559,1.5816
42 238,40 49,312,0.5226,1.5810
33 40 16011,49,136,0.7556,1.5809
40 226 311,49,102,0.7556,1.5809
42 15833,40 49,220,0.5226,1.5809
2168,40 49,139,0.5226,1.5809
40 42 180,49,139,0.7554,1.5806
40 426,49,299,0.7551,1.5798
2114,40 49,118,0.5221,1.5796
40 832,49,237,0.7548,1.5793
832,40 49,237,0.5220,1.5793
5359,40 49,107,0.5220,1.5790
42 49 1394,40,137,0.9073,1.5785
40 10445,49,221,0.7543,1.5782
40 1258,49,193,0.7539,1.5775
40 2709,49,98,0.7538,1.5773
40 616,49,98,0.7538,1.5773
40 2627,49,150,0.7538,1.5772
33 48 49,40,97,0.9065,1.5772
33 39 48 49,40,97,0.9065,1.5772
40 2379,49,101,0.7537,1.5771
42 124,40 49,123,0.5212,1.5767
40 42 186,49,168,0.7534,1.5763
37 39 90,49,113,0.7533,1.5763
40 2012,49,116,0.7532,1.5761
40 768,49,122,0.7531,1.5757
42 14099,49,128,0.7529,1.5754
50,49,843,0.7527,1.5749
42 49 790,40,124,0.9051,1.5747
42 171,40 49,419,0.5205,1.5746
40 2630,49,149,0.7525,1.5746
10 42,49,231,0.7524,1.5744
42 49 56,40,95,0.9048,1.5741
42 49 1436,40,95,0.9048,1.5741
40 171 238,49,91,0.7521,1.5736
39 42 171,40 49,413,0.5202,1.5736
40 4892,49,97,0.7519,1.5733
40 3277,49,100,0.7519,1.5732
40 2151,49,100,0.7519,1.5732
40 42 15619,49,100,0.7519,1.5732
39 40 339,49,100,0.7519,1.5732
40 1017,49,103,0.7518,1.5731
40 10944,49,115,0.7516,1.5727
40 988,49,118,0.7516,1.5726
40 4308,49,118,0.7516,1.5726
40 42 209,49,124,0.7515,1.5724
40 4071,49,133,0.7514,1.5722
5729,40 49,132,0.5197,1.5722
12 42,49,148,0.7513,1.5719
40 425,49,151,0.7512,1.5719
39 3905,40 49,173,0.5195,1.5717
39 42 111,40 49,346,0.5195,1.5717
42 3905,40,112,0.9032,1.5714
1185,40 49,94,0.5193,1.5711
40 2242,49,214,0.7509,1.5711
42 476,49,428,0.7509,1.5711
283,40 49,121,0.5193,1.5711
311,40 49,1347,0.5193,1.5709
39 42 49 56,40,93,0.9029,1.5708
42 1147,40 49,260,0.5190,1.5700
169,40 49,152,0.5188,1.5694
40 3405,49,117,0.7500,1.5693
40 553,49,117,0.7500,1.5693
40 348,49,120,0.7500,1.5693
40 413,49,141,0.7500,1.5693
40 1104,49,189,0.7500,1.5693
31 42,49,96,0.7500,1.5693
42 12930,49,93,0.7500,1.5693
33 40 550,49,90,0.7500,1.5693
33 40 250,49,96,0.7500,1.5693
90 238,49,174,0.7500,1.5693
226 271,40 49,153,0.5186,1.5690
42 49 571,40,137,0.9013,1.5681
39 42 49 311,40,118,0.9008,1.5671
8979 16011,40 49,101,0.5179,1.5669
42 1601,40 49,102,0.5178,1.5664
40 343,49,134,0.7486,1.5664
33 40 549,49,128,0.7485,1.5662
40 427,49,250,0.7485,1.5661
39 42 3905,40,108,0.9000,1.5658
39 42 1328,40,135,0.9000,1.5658
2050,49,101,0.7481,1.5654
40 238 311,49,98,0.7481,1.5653
33 42 80,49,95,0.7480,1.5652
2389,40 49,149,0.5174,1.5651
40 2390,49,89,0.7479,1.5649
42 3271,49,160,0.7477,1.5644
33 40 476,49,234,0.7476,1.5643
38 39 40 42,49,151,0.7475,1.5641
40 42 1199,49,127,0.7471,1.5631
39 40 311,49,251,0.7470,1.5631
40 4686,49,124,0.7470,1.5630
39 259,49,121,0.7469,1.5628
40 53,49,239,0.7469,1.5627
40 1028,49,165,0.7466,1.5622
4142,49,106,0.7465,1.5619
42 810,49,100,0.7463,1.5615
40 2562,49,94,0.7460,1.5610
40 2119,49,232,0.7460,1.5609
40 559,49,91,0.7459,1.5607
492,49,182,0.7459,1.5607
40 572,49,240,0.7453,1.5595
40 42 784,49,120,0.7453,1.5595
39 49 3905,40,173,0.8964,1.5595
39 238,40 49,352,0.5154,1.5591
40 1061,49,114,0.7451,1.5590
40 760,49,114,0.7451,1.5590
42 571,49,152,0.7451,1.5590
4298,49,108,0.7448,1.5585
39 108,49,105,0.7447,1.5581
33 42,40 49,1646,0.5150,1.5581
33 40 302,49,137,0.7446,1.5579
40 641,49,169,0.7445,1.5578
40 719,49,134,0.7444,1.5577
42 49 439,40,265,0.8953,1.5575
42 3617,40 49,105,0.5147,1.5571
49 3905,40,179,0.8950,1.5571
49 226 2239,40,196,0.8950,1.5570
38 40 42,49,151,0.7438,1.5564
42 1815,49,113,0.7434,1.5555
1124,49,110,0.7432,1.5551
40 168,49,110,0.7432,1.5551
39 42 49 226,40,126,0.8936,1.5547
40 1233,49,104,0.7429,1.5543
40 42 678,49,130,0.7429,1.5543
40 10526,49,153,0.7427,1.5540
40 10491,49,176,0.7426,1.5538
40 10443,49,150,0.7426,1.5537
40 1295,49,124,0.7425,1.5536
49 1787,40,150,0.8929,1.5534
3172,49,121,0.7423,1.5532
33 42 49 311,40,133,0.8926,1.5529
1528,40 49,117,0.5132,1.5524
33 180,40 49,117,0.5132,1.5524
39 49 250,40,149,0.8922,1.5522
40 1250,49,112,0.7417,1.5520
40 515,49,201,0.7417,1.5519
42 262,49,89,0.7417,1.5518
40 42 250,49,155,0.7416,1.5518
39 256,49,198,0.7416,1.5516
42 980,40,107,0.8917,1.5513
39 3271,49,129,0.7414,1.5512
40 2481,49,106,0.7413,1.5510
42 111,40 49,347,0.5126,1.5506
33 42 49 90,40,139,0.8910,1.5502
49 1538,40,98,0.8909,1.5500
39 593,49,137,0.7405,1.5495
40 42 545,49,117,0.7405,1.5494
42 2438,49,114,0.7403,1.5489
40 3152,49,111,0.7400,1.5484
40 1405,49,202,0.7399,1.5482
33 40 593,49,128,0.7399,1.5481
40 42 341,49,91,0.7398,1.5480
40 1281,49,125,0.7396,1.5476
40 4946,49,105,0.7394,1.5472
1539,40 49,113,0.5113,1.5469
40 1643,49,102,0.7391,1.5465
42 226 2239,40,104,0.8889,1.5464
4343,40 49,93,0.5110,1.5459
42 49 311,40,486,0.8885,1.5457
39 42,40 49,1991,0.5109,1.5456
40 187,49,305,0.7385,1.5452
40 1167,49,96,0.7385,1.5451
40 829,49,96,0.7385,1.5451
40 1974,49,141,0.7382,1.5446
40 86,49,93,0.7381,1.5444
12 39,49,93,0.7381,1.5444
42 534,49,248,0.7381,1.5444
40 42 339,49,138,0.7380,1.5441
39 476,49,290,0.7379,1.5440
40 1053,49,152,0.7379,1.5439
40 489,49,287,0.7378,1.5437
40 10421,49,135,0.7377,1.5436
571,40 49,404,0.5101,1.5432
42 1005,40 49,101,0.5101,1.5432
165 166,49,118,0.7375,1.5431
40 2966,49,132,0.7374,1.5430
42 914,49,101,0.7372,1.5425
33 38 40,49,101,0.7372,1.5425
33 38 39 40,49,101,0.7372,1.5425
40 134,49,115,0.7372,1.5425
3760,40 49,159,0.5096,1.5417
2242,40 49,214,0.5095,1.5414
37 39 42 49,40,334,0.8859,1.5413
40 416,49,179,0.7366,1.5413
40 1210,49,162,0.7364,1.5407
2394,49,92,0.7360,1.5400
530,40 49,114,0.5089,1.5396
40 2189,49,103,0.7357,1.5394
40 10657,49,167,0.7357,1.5393
40 1997,49,128,0.7356,1.5392
10471,49,89,0.7355,1.5390
40 13061,49,89,0.7355,1.5390
40 142,49,89,0.7355,1.5390
40 1639,49,164,0.7354,1.5388
37 42 49,40,343,0.8840,1.5380
24 42 49,40,99,0.8839,1.5378
39 42 226,40,198,0.8839,1.5378
40 216,49,158,0.7349,1.5376
1317,49,97,0.7348,1.5376
40 940,49,97,0.7348,1.5376
40 69,49,97,0.7348,1.5376
40 881,49,97,0.7348,1.5376
398,40 49,156,0.5081,1.5373
39 230,49,144,0.7347,1.5373
49 171 238,40,91,0.8835,1.5371
42 366,40,106,0.8833,1.5368
40 623,49,130,0.7345,1.5368
40 2991,49,94,0.7344,1.5366
33 39 66,49,94,0.7344,1.5366
42 271,40 49,258,0.5079,1.5364
42 1436,49,105,0.7343,1.5364
42 49 176,40,166,0.8830,1.5362
42 118,40 49,134,0.5076,1.5355
39 40 157,49,102,0.7338,1.5354
40 204,49,146,0.7337,1.5351
39 49 171 238,40,90,0.8824,1.5351
33 40 238,49,256,0.7335,1.5348
32 42,40 49,105,0.5072,1.5345
42 49 61,40,142,0.8820,1.5344
40 1630,49,110,0.7333,1.5344
33 40 678,49,110,0.7333,1.5344
39 40 186,49,121,0.7333,1.5344
33 439,40 49,177,0.5072,1.5343
12 40,49,346,0.7331,1.5338
42 108,49,129,0.7330,1.5336
42 49 1579,40,104,0.8814,1.5333
40 1015,49,115,0.7325,1.5326
19 40 42,49,115,0.7325,1.5326
40 487,49,93,0.7323,1.5322
40 42 124,49,123,0.7321,1.5319
40 42 1005,49,101,0.7319,1.5314
39 40 784,49,90,0.7317,1.5310
40 1656,49,139,0.7316,1.5307
40 790,49,327,0.7315,1.5307
2793,49,226,0.7314,1.5303
39 42 49 476,40,95,0.8796,1.5303
39 42 287,40 49,131,0.5058,1.5301
42 49 1345,40,146,0.8795,1.5301
40 400,49,117,0.7312,1.5300
980,40 49,222,0.5057,1.5299
39 49 157,40,102,0.8793,1.5298
42 49 390,40,109,0.8790,1.5293
49 90 311,40,167,0.8789,1.5292
39 66,40 49,325,0.5054,1.5291
40 169,49,152,0.7308,1.5290
39 1815,49,95,0.7308,1.5290
40 42 104,49,95,0.7308,1.5290
39 42 49 238,40,116,0.8788,1.5289
40 752,49,141,0.7306,1.5286
40 1815,49,344,0.7304,1.5282
40 6129,49,111,0.7303,1.5280
3277,40 49,100,0.5051,1.5279
4375,49,92,0.7302,1.5278
33 408,49,92,0.7302,1.5278
38 42 49,40,151,0.8779,1.5273
38 39 42 49,40,151,0.8779,1.5273
42 49 8979,40,172,0.8776,1.5267
790,40 49,327,0.5046,1.5266
33 40 42 171,49,89,0.7295,1.5264
11 42 49,40,93,0.8774,1.5264
42 49 187,40,100,0.8772,1.5261
90,49,2798,0.7292,1.5258
40 1699,49,140,0.7292,1.5257
40 1586,49,191,0.7290,1.5254
476,40 49,1092,0.5039,1.5245
1258,40 49,193,0.5039,1.5245
42 49 2200,40,92,0.8762,1.5244
40 1785,49,110,0.7285,1.5242
40 1787,49,150,0.7282,1.5236
42 917,49,91,0.7280,1.5232
40 476,49,1092,0.7280,1.5232
33 39 48,49,107,0.7279,1.5230
40 167,49,131,0.7278,1.5228
42 49 12926,40,91,0.8750,1.5223
40 311,49,1347,0.7273,1.5218
40 926,49,120,0.7273,1.5217
40 1603,49,128,0.7273,1.5217
40 83,49,120,0.7273,1.5217
40 1173,49,128,0.7273,1.5217
40 76,49,160,0.7273,1.5217
40 249,49,200,0.7273,1.5217
40 408,49,304,0.7273,1.5217
42 549,49,176,0.7273,1.5217
226 238,49,112,0.7273,1.5217
49 226 271,40,153,0.8743,1.5210
40 42 302,49,141,0.7268,1.5207
40 1809,49,133,0.7268,1.5207
42 10516,49,125,0.7267,1.5206
33 118,40 49,97,0.5026,1.5205
40 592,49,210,0.7266,1.5204
39 271,40 49,196,0.5026,1.5204
42 298,49,93,0.7266,1.5202
42 480,40 49,102,0.5025,1.5201
33 957,40 49,105,0.5024,1.5199
39 42 311,40,145,0.8735,1.5197
42 49 226,40,469,0.8734,1.5194
40 3760,49,159,0.7260,1.5191
40 42 439,49,265,0.7260,1.5191
40 236,49,143,0.7259,1.5188
42 49 157,40,96,0.8727,1.5183
49 1671,40,89,0.8725,1.5180
33 40 439,49,177,0.7254,1.5178
33 118,49,140,0.7254,1.5178
40 3800,49,206,0.7254,1.5177
40 1678,49,211,0.7251,1.5171
40 962,49,240,0.7251,1.5171
42 678,49,166,0.7249,1.5167
49 226 311,40,102,0.8718,1.5167
40 9670,49,108,0.7248,1.5166
40 42 1716,49,108,0.7248,1.5166
33 42 90,40,163,0.8717,1.5165
40 42 605,49,171,0.7246,1.5161
40 571,49,404,0.7240,1.5149
40 42 957,49,123,0.7235,1.5139
40 714,49,102,0.7234,1.5136
40 42 593,49,170,0.7234,1.5136
39 534,49,170,0.7234,1.5136
42 202,49,183,0.7233,1.5135
2151,40 49,100,0.5000,1.5126
194,40 49,102,0.5000,1.5126
1210,40 49,162,0.5000,1.5126
268,40 49,292,0.5000,1.5126
42 847,40 49,90,0.5000,1.5126
1815,40 49,344,0.5000,1.5126
42 287,40 49,134,0.5000,1.5126
39 12926,40 49,147,0.5000,1.5126
42 311,40,625,0.8693,1.5123
33 311,49,391,0.7227,1.5122
40 42 825,49,172,0.7227,1.5121
42 49 476,40,372,0.8692,1.5121
40 42 977,49,99,0.7226,1.5120
40 1528,49,117,0.7222,1.5112
40 70,49,117,0.7222,1.5112
40 129,49,104,0.7222,1.5112
40 1004,49,182,0.7222,1.5112
40 3271,49,416,0.7222,1.5112
33 40 180,49,117,0.7222,1.5112
33 40 13042,49,104,0.7222,1.5112
33 40 605,49,104,0.7222,1.5112
40 2553,49,148,0.7220,1.5106
40 435,49,96,0.7218,1.5103
42 49 2239,40,322,0.8679,1.5100
40 550,49,355,0.7215,1.5097
42 335,40,105,0.8678,1.5097
40 1565,49,101,0.7214,1.5095
66 311,49,163,0.7212,1.5091
2722,49,119,0.7212,1.5090
40 644,49,150,0.7212,1.5089
37 39 49 90,40,98,0.8673,1.5088
42 49 534,40,215,0.8669,1.5083
40 54,49,253,0.7208,1.5082
40 2052,49,222,0.7208,1.5081
40 42 791,49,111,0.7208,1.5081
40 2465,49,134,0.7204,1.5074
40 7976,49,134,0.7204,1.5074
33 39 40 42,49,448,0.7203,1.5070
39 40 250,49,149,0.7198,1.5061
40 259,49,452,0.7197,1.5060
33 42 311,40,161,0.8656,1.5059
49 1477,40,103,0.8655,1.5058
42 49 375,40,90,0.8654,1.5056
42 49 847,40,90,0.8654,1.5056
39 49 784,40,90,0.8654,1.5056
40 2136,49,228,0.7192,1.5049
33 40 957,49,105,0.7192,1.5048
39 40 42 791,49,110,0.7190,1.5043
33 40 414,49,156,0.7189,1.5042
40 3203,49,92,0.7188,1.5039
42 180,49,161,0.7188,1.5039
33 40 1394,49,115,0.7188,1.5039
40 2441,49,143,0.7186,1.5036
40 290,49,97,0.7185,1.5034
40 2148,49,97,0.7185,1.5034
40 393,49,97,0.7185,1.5034
40 320,49,194,0.7185,1.5034
40 3669,49,125,0.7184,1.5031
33 48,49,107,0.7181,1.5026
49 2409,40,95,0.8636,1.5025
42 49 104,40,95,0.8636,1.5025
40 2165,49,135,0.7181,1.5025
40 566,49,112,0.7179,1.5022
42 49 180,40,139,0.8634,1.5020
40 810,49,290,0.7178,1.5019
42 49 784,40,120,0.8633,1.5019
40 5730,49,155,0.7176,1.5015
40 268,49,292,0.7174,1.5012
40 582,49,264,0.7174,1.5010
40 42 102,49,264,0.7174,1.5010
49 765,40,132,0.8627,1.5010
2239 5730,49,104,0.7172,1.5007
39 414,49,213,0.7172,1.5006
256,49,1057,0.7171,1.5004
40 42 414,49,228,0.7170,1.5002
40 5406,49,124,0.7168,1.4997
